Model,Accuracy,Precision,Recall,F1 Score,Kappa,MCC
random_forest,1.0,1.0,1.0,1.0,1.0,1.0
svm,0.995475113122172,0.9955638363942861,0.995475113122172,0.995477491928907,0.9939056338416568,0.9939330564606434
knn,0.9909502262443439,0.9911395025581875,0.9909502262443439,0.9909617491923728,0.9878200005511312,0.9878748058836917
logistic_regression,0.9909502262443439,0.99101395704544,0.9909502262443439,0.9909462503191389,0.9878045415666473,0.9878318710651167
decision_tree,0.9909502262443439,0.9912016088486676,0.9909502262443439,0.9909216124152803,0.9877954495250718,0.987905291289369
naive_bayes,0.9321266968325792,0.933872663284428,0.9321266968325792,0.9324187403396228,0.9088007923189083,0.9092280159046092
